Date,Rate
9/07/2019,121.64
8/07/2019,122.74
5/07/2019,122.86
4/07/2019,123.53
3/07/2019,123.66
2/07/2019,123.27
1/07/2019,122.72
28/06/2019,123.83
27/06/2019,123.69
26/06/2019,123.25
25/06/2019,122.72
24/06/2019,122.79
21/06/2019,122.23
20/06/2019,122.28
19/06/2019,121.48
18/06/2019,121.5
17/06/2019,121.07
14/06/2019,121.32
13/06/2019,122.01
12/06/2019,122.18
11/06/2019,122.71
10/06/2019,122.74
7/06/2019,123.34
6/06/2019,123.04
5/06/2019,122.9
4/06/2019,123.27
3/06/2019,123.06
